method,f1_micro,f1_macro,accuracy,fold_num,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,num_channels
DeepLift,0.7234449760765549,0.7135656066177243,0.723444976076555,5,0,0,0,0,0,1,0,0,7
IntegratedGradients,0.8966507177033493,0.893279390011886,0.8966507177033493,1,1,1,1,1,1,1,1,1,0
IntegratedGradients,0.9416267942583731,0.9398034254495512,0.9416267942583731,2,1,1,1,1,1,1,1,1,0
IntegratedGradients,0.9492822966507176,0.9477327742182332,0.9492822966507176,3,1,1,1,1,1,1,1,1,0
IntegratedGradients,0.9272727272727272,0.9246568278940108,0.9272727272727272,4,1,1,1,1,1,1,1,1,0
IntegratedGradients,0.9358851674641148,0.933729841390676,0.9358851674641148,5,1,1,1,1,1,1,1,1,0
IntegratedGradients,0.877511961722488,0.8716602949185766,0.877511961722488,1,1,1,1,1,0,1,1,1,1
IntegratedGradients,0.938755980861244,0.9371452194730312,0.938755980861244,2,1,1,1,1,0,1,1,1,1
IntegratedGradients,0.9339712918660288,0.9321273488730012,0.9339712918660288,3,1,1,1,1,0,1,1,1,1
IntegratedGradients,0.9416267942583731,0.9399390994977388,0.9416267942583731,4,1,1,1,1,0,1,1,1,1
IntegratedGradients,0.8889952153110049,0.8852763343643862,0.8889952153110048,5,1,1,1,1,0,1,1,1,1
IntegratedGradients,0.9253588516746412,0.9230337030033292,0.9253588516746412,1,1,1,1,1,0,1,1,0,2
IntegratedGradients,0.9291866028708134,0.927181571432966,0.9291866028708134,2,1,1,1,1,0,1,1,0,2
IntegratedGradients,0.9234449760765552,0.920925970504157,0.9234449760765552,3,1,1,1,1,0,1,1,0,2
IntegratedGradients,0.9205741626794258,0.9182588995226154,0.9205741626794258,4,1,1,1,1,0,1,1,0,2
IntegratedGradients,0.877511961722488,0.8752307136830013,0.877511961722488,5,1,1,1,1,0,1,1,0,2
IntegratedGradients,0.9186602870813396,0.9155232402179092,0.9186602870813396,1,1,1,1,0,0,1,1,0,3
IntegratedGradients,0.922488038277512,0.9194633265120108,0.922488038277512,2,1,1,1,0,0,1,1,0,3
IntegratedGradients,0.9157894736842104,0.9121675214447864,0.9157894736842104,3,1,1,1,0,0,1,1,0,3
IntegratedGradients,0.9129186602870814,0.9097002889752078,0.9129186602870814,4,1,1,1,0,0,1,1,0,3
