method,f1_micro,f1_macro,accuracy,fold_num,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,num_channels
LRP,0.9709079283887468,0.9164624670870958,0.9709079283887468,3,1,0,0,0,1,0,0,0,1,0,0,1,8
LRP,0.9709079283887468,0.917440348432093,0.9709079283887468,4,1,0,0,0,1,0,0,0,1,0,0,1,8
LRP,0.9677109974424551,0.909704607452592,0.9677109974424551,5,1,0,0,0,1,0,0,0,1,0,0,1,8
LRP,0.94693094629156,0.8586041172020364,0.94693094629156,1,1,0,0,0,1,0,0,0,1,0,0,0,9
LRP,0.9573209718670076,0.891636875629713,0.9573209718670076,2,1,0,0,0,1,0,0,0,1,0,0,0,9
LRP,0.9587595907928388,0.8946185641243267,0.9587595907928388,3,1,0,0,0,1,0,0,0,1,0,0,0,9
LRP,0.9390984654731458,0.839121133318643,0.9390984654731458,4,1,0,0,0,1,0,0,0,1,0,0,0,9
LRP,0.9582800511508952,0.8933162218719973,0.9582800511508952,5,1,0,0,0,1,0,0,0,1,0,0,0,9
LRP,0.9402173913043478,0.8467246899438559,0.9402173913043478,1,0,0,0,0,1,0,0,0,1,0,0,0,10
LRP,0.9600383631713556,0.8931699356873631,0.9600383631713556,2,0,0,0,0,1,0,0,0,1,0,0,0,10
LRP,0.9408567774936062,0.8455230859355299,0.9408567774936062,3,0,0,0,0,1,0,0,0,1,0,0,0,10
LRP,0.9258312020460358,0.8069928375994246,0.9258312020460358,4,0,0,0,0,1,0,0,0,1,0,0,0,10
LRP,0.949648337595908,0.865147782016999,0.949648337595908,5,0,0,0,0,1,0,0,0,1,0,0,0,10
LRP,0.921994884910486,0.7723278015507617,0.921994884910486,1,0,0,0,0,1,0,0,0,0,0,0,0,11
LRP,0.9077685421994884,0.7448314426069585,0.9077685421994884,2,0,0,0,0,1,0,0,0,0,0,0,0,11
LRP,0.9282289002557544,0.8028445675391488,0.9282289002557544,3,0,0,0,0,1,0,0,0,0,0,0,0,11
LRP,0.9232736572890026,0.7900430999279302,0.9232736572890026,4,0,0,0,0,1,0,0,0,0,0,0,0,11
LRP,0.9114450127877238,0.7671344660774877,0.9114450127877238,5,0,0,0,0,1,0,0,0,0,0,0,0,11
PXPermute,0.9910485933503836,0.9763454861565886,0.9910485933503836,1,1,1,1,1,1,1,1,1,1,1,1,1,0
PXPermute,0.9915281329923272,0.9782743040357532,0.9915281329923272,2,1,1,1,1,1,1,1,1,1,1,1,1,0
PXPermute,0.990089514066496,0.9752071613875676,0.990089514066496,3,1,1,1,1,1,1,1,1,1,1,1,1,0
PXPermute,0.9891304347826086,0.9720556730052856,0.9891304347826086,4,1,1,1,1,1,1,1,1,1,1,1,1,0
PXPermute,0.9905690537084398,0.9770749057759284,0.99056905370844,5,1,1,1,1,1,1,1,1,1,1,1,1,0
PXPermute,0.9945652173913044,0.9861112621140974,0.9945652173913044,1,0,1,1,1,1,1,1,1,1,1,1,1,1
PXPermute,0.987851662404092,0.9684820792259576,0.987851662404092,2,0,1,1,1,1,1,1,1,1,1,1,1,1
PXPermute,0.9904092071611252,0.9754658232545088,0.9904092071611252,3,0,1,1,1,1,1,1,1,1,1,1,1,1
PXPermute,0.9892902813299232,0.972668330059426,0.9892902813299232,4,0,1,1,1,1,1,1,1,1,1,1,1,1
PXPermute,0.9907289002557544,0.9759022821878292,0.9907289002557544,5,0,1,1,1,1,1,1,1,1,1,1,1,1
PXPermute,0.9915281329923272,0.9780780525867072,0.9915281329923272,1,0,1,1,1,1,1,1,1,0,1,1,1,2
PXPermute,0.989769820971867,0.9736178992946078,0.989769820971867,2,0,1,1,1,1,1,1,1,0,1,1,1,2
PXPermute,0.9910485933503836,0.9774835882755688,0.9910485933503836,3,0,1,1,1,1,1,1,1,0,1,1,1,2
PXPermute,0.989769820971867,0.9742089242173966,0.989769820971867,4,0,1,1,1,1,1,1,1,0,1,1,1,2
PXPermute,0.987851662404092,0.9679306023788374,0.987851662404092,5,0,1,1,1,1,1,1,1,0,1,1,1,2
PXPermute,0.9876918158567776,0.9688522127261784,0.9876918158567776,1,0,1,1,1,1,0,1,1,0,1,1,1,3
PXPermute,0.9891304347826086,0.973116507181817,0.9891304347826086,2,0,1,1,1,1,0,1,1,0,1,1,1,3
PXPermute,0.9913682864450128,0.9777889854469358,0.9913682864450128,3,0,1,1,1,1,0,1,1,0,1,1,1,3
PXPermute,0.9937659846547314,0.9845690307552856,0.9937659846547314,4,0,1,1,1,1,0,1,1,0,1,1,1,3
PXPermute,0.9889705882352942,0.9705233864220668,0.9889705882352942,5,0,1,1,1,1,0,1,1,0,1,1,1,3
PXPermute,0.9896099744245525,0.9726046177606869,0.9896099744245525,1,0,1,1,1,1,0,1,0,0,1,1,1,4
PXPermute,0.9907289002557544,0.97655199847715,0.9907289002557544,2,0,1,1,1,1,0,1,0,0,1,1,1,4
PXPermute,0.9924872122762148,0.980928776784701,0.9924872122762148,3,0,1,1,1,1,0,1,0,0,1,1,1,4
PXPermute,0.9873721227621484,0.9671205592454216,0.9873721227621484,4,0,1,1,1,1,0,1,0,0,1,1,1,4
PXPermute,0.9929667519181584,0.9821551925865204,0.9929667519181584,5,0,1,1,1,1,0,1,0,0,1,1,1,4
PXPermute,0.9902493606138107,0.974559190182546,0.9902493606138107,1,0,1,1,1,0,0,1,0,0,1,1,1,5
PXPermute,0.9896099744245525,0.9728165027220766,0.9896099744245525,2,0,1,1,1,0,0,1,0,0,1,1,1,5
PXPermute,0.989450127877238,0.9718670989450596,0.989450127877238,3,0,1,1,1,0,0,1,0,0,1,1,1,5
PXPermute,0.9918478260869564,0.9789419504194158,0.9918478260869564,4,0,1,1,1,0,0,1,0,0,1,1,1,5
PXPermute,0.9921675191815856,0.9792297350570868,0.9921675191815856,5,0,1,1,1,0,0,1,0,0,1,1,1,5
PXPermute,0.993925831202046,0.9843536629220888,0.993925831202046,1,0,1,0,1,0,0,1,0,0,1,1,1,6
PXPermute,0.991687979539642,0.9795468818066628,0.991687979539642,2,0,1,0,1,0,0,1,0,0,1,1,1,6
PXPermute,0.9872122762148338,0.9668584220420352,0.9872122762148338,3,0,1,0,1,0,0,1,0,0,1,1,1,6
PXPermute,0.9915281329923272,0.9780950545302044,0.9915281329923272,4,0,1,0,1,0,0,1,0,0,1,1,1,6
PXPermute,0.9937659846547314,0.9842806688118076,0.9937659846547314,5,0,1,0,1,0,0,1,0,0,1,1,1,6
PXPermute,0.9889705882352942,0.9687767393622142,0.9889705882352942,1,0,1,0,1,0,0,0,0,0,1,1,1,7
PXPermute,0.9891304347826086,0.969259358924758,0.9891304347826086,2,0,1,0,1,0,0,0,0,0,1,1,1,7
PXPermute,0.9902493606138107,0.973220627820618,0.9902493606138107,3,0,1,0,1,0,0,0,0,0,1,1,1,7
PXPermute,0.9910485933503836,0.9759942056322264,0.9910485933503836,4,0,1,0,1,0,0,0,0,0,1,1,1,7
PXPermute,0.9888107416879796,0.968231130120054,0.9888107416879796,5,0,1,0,1,0,0,0,0,0,1,1,1,7
PXPermute,0.990888746803069,0.9744651690706893,0.990888746803069,1,0,0,0,1,0,0,0,0,0,1,1,1,8
PXPermute,0.9864130434782608,0.9622136498210636,0.9864130434782608,2,0,0,0,1,0,0,0,0,0,1,1,1,8
PXPermute,0.99616368286445,0.9896847157684604,0.99616368286445,3,0,0,0,1,0,0,0,0,0,1,1,1,8
PXPermute,0.9899296675191817,0.9734449568903832,0.9899296675191817,4,0,0,0,1,0,0,0,0,0,1,1,1,8
PXPermute,0.9876918158567776,0.96598180787927,0.9876918158567776,5,0,0,0,1,0,0,0,0,0,1,1,1,8
PXPermute,0.9945652173913044,0.9851232130274876,0.9945652173913044,1,0,0,0,0,0,0,0,0,0,1,1,1,9
PXPermute,0.9913682864450128,0.9778598908787024,0.9913682864450128,2,0,0,0,0,0,0,0,0,0,1,1,1,9
PXPermute,0.9942455242966752,0.985240885174658,0.9942455242966752,3,0,0,0,0,0,0,0,0,0,1,1,1,9
PXPermute,0.9832161125319692,0.9585519988904287,0.9832161125319692,4,0,0,0,0,0,0,0,0,0,1,1,1,9
PXPermute,0.9931265984654732,0.982519860203914,0.9931265984654732,5,0,0,0,0,0,0,0,0,0,1,1,1,9
PXPermute,0.9929667519181584,0.9812846665644922,0.9929667519181584,1,0,0,0,0,0,0,0,0,0,0,1,1,10
PXPermute,0.9912084398976982,0.97753971736236,0.9912084398976982,2,0,0,0,0,0,0,0,0,0,0,1,1,10
PXPermute,0.992806905370844,0.9816697969800384,0.992806905370844,3,0,0,0,0,0,0,0,0,0,0,1,1,10
PXPermute,0.9912084398976982,0.9773960316487774,0.9912084398976982,4,0,0,0,0,0,0,0,0,0,0,1,1,10
PXPermute,0.9918478260869564,0.9804647450698044,0.9918478260869564,5,0,0,0,0,0,0,0,0,0,0,1,1,10
PXPermute,0.9677109974424551,0.9209279452312656,0.9677109974424551,1,0,0,0,0,0,0,0,0,0,0,1,0,11
PXPermute,0.9571611253196932,0.8971841894941388,0.9571611253196932,2,0,0,0,0,0,0,0,0,0,0,1,0,11
PXPermute,0.960997442455243,0.9033402767795798,0.960997442455243,3,0,0,0,0,0,0,0,0,0,0,1,0,11
PXPermute,0.9750639386189258,0.9373480296044668,0.9750639386189258,4,0,0,0,0,0,0,0,0,0,0,1,0,11
PXPermute,0.9721867007672634,0.9315794039111672,0.9721867007672634,5,0,0,0,0,0,0,0,0,0,0,1,0,11
Occlusion,0.9881713554987211,0.9689101128805572,0.9881713554987211,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Occlusion,0.9907289002557544,0.9767270897231614,0.9907289002557544,2,1,1,1,1,1,1,1,1,1,1,1,1,0
Occlusion,0.9915281329923272,0.9788348003339428,0.9915281329923272,3,1,1,1,1,1,1,1,1,1,1,1,1,0
Occlusion,0.9926470588235294,0.9816105787916036,0.9926470588235294,4,1,1,1,1,1,1,1,1,1,1,1,1,0
Occlusion,0.9912084398976982,0.9774870324224546,0.9912084398976982,5,1,1,1,1,1,1,1,1,1,1,1,1,0
Occlusion,0.9920076726342713,0.9794295400219382,0.9920076726342713,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Occlusion,0.9907289002557544,0.976514358060366,0.9907289002557544,2,1,1,1,1,1,1,1,0,1,1,1,1,1
Occlusion,0.990888746803069,0.9765817447368608,0.990888746803069,3,1,1,1,1,1,1,1,0,1,1,1,1,1
Occlusion,0.9896099744245525,0.9734890206882528,0.9896099744245525,4,1,1,1,1,1,1,1,0,1,1,1,1,1
Occlusion,0.9910485933503836,0.9775638636195004,0.9910485933503836,5,1,1,1,1,1,1,1,0,1,1,1,1,1
Occlusion,0.9902493606138107,0.9756477913210584,0.9902493606138107,1,1,1,1,1,1,0,1,0,1,1,1,1,2
Occlusion,0.991687979539642,0.9793190670511946,0.991687979539642,2,1,1,1,1,1,0,1,0,1,1,1,1,2
Occlusion,0.989450127877238,0.972776404273998,0.989450127877238,3,1,1,1,1,1,0,1,0,1,1,1,1,2
Occlusion,0.9902493606138107,0.9747969583088448,0.9902493606138107,4,1,1,1,1,1,0,1,0,1,1,1,1,2
Occlusion,0.9920076726342713,0.9804579480288124,0.9920076726342713,5,1,1,1,1,1,0,1,0,1,1,1,1,2
Occlusion,0.988650895140665,0.9706303727180832,0.988650895140665,1,1,0,1,1,1,0,1,0,1,1,1,1,3
Occlusion,0.989450127877238,0.9746788859042924,0.989450127877238,2,1,0,1,1,1,0,1,0,1,1,1,1,3
Occlusion,0.9923273657289002,0.980371044111166,0.9923273657289002,3,1,0,1,1,1,0,1,0,1,1,1,1,3
Occlusion,0.9921675191815856,0.9799595080969968,0.9921675191815856,4,1,0,1,1,1,0,1,0,1,1,1,1,3
Occlusion,0.9907289002557544,0.9769812359758064,0.9907289002557544,5,1,0,1,1,1,0,1,0,1,1,1,1,3
Occlusion,0.9888107416879796,0.9723657146372336,0.9888107416879796,1,1,0,1,1,1,0,1,0,1,1,1,0,4
Occlusion,0.9883312020460358,0.9707878689218182,0.9883312020460358,2,1,0,1,1,1,0,1,0,1,1,1,0,4
Occlusion,0.985613810741688,0.9639261531563168,0.985613810741688,3,1,0,1,1,1,0,1,0,1,1,1,0,4
Occlusion,0.9905690537084398,0.9765463662392684,0.99056905370844,4,1,0,1,1,1,0,1,0,1,1,1,0,4
Occlusion,0.98673273657289,0.966669945644908,0.98673273657289,5,1,0,1,1,1,0,1,0,1,1,1,0,4
Occlusion,0.9873721227621484,0.96768460528514,0.9873721227621484,1,1,0,0,1,1,0,1,0,1,1,1,0,5
Occlusion,0.9862531969309464,0.9665325210824612,0.9862531969309464,2,1,0,0,1,1,0,1,0,1,1,1,0,5
Occlusion,0.990089514066496,0.97685579443688,0.990089514066496,3,1,0,0,1,1,0,1,0,1,1,1,0,5
Occlusion,0.9913682864450128,0.9783883448275904,0.9913682864450128,4,1,0,0,1,1,0,1,0,1,1,1,0,5
Occlusion,0.9865728900255756,0.9649140735154316,0.9865728900255756,5,1,0,0,1,1,0,1,0,1,1,1,0,5
Occlusion,0.9873721227621484,0.9688426862758164,0.9873721227621484,1,1,0,0,1,1,0,1,0,1,0,1,0,6
Occlusion,0.9864130434782608,0.9665304070998234,0.9864130434782608,2,1,0,0,1,1,0,1,0,1,0,1,0,6
Occlusion,0.9854539641943734,0.9647616170579512,0.9854539641943734,3,1,0,0,1,1,0,1,0,1,0,1,0,6
Occlusion,0.9924872122762148,0.9824461524141348,0.9924872122762148,4,1,0,0,1,1,0,1,0,1,0,1,0,6
Occlusion,0.9881713554987211,0.9711829871233928,0.9881713554987211,5,1,0,0,1,1,0,1,0,1,0,1,0,6
Occlusion,0.9851342710997444,0.964540640831714,0.9851342710997444,1,1,0,0,0,1,0,1,0,1,0,1,0,7
Occlusion,0.9891304347826086,0.9753074592692128,0.9891304347826086,2,1,0,0,0,1,0,1,0,1,0,1,0,7
Occlusion,0.9896099744245525,0.9756068296844296,0.9896099744245525,3,1,0,0,0,1,0,1,0,1,0,1,0,7
Occlusion,0.987851662404092,0.971019117876168,0.987851662404092,4,1,0,0,0,1,0,1,0,1,0,1,0,7
Occlusion,0.984494884910486,0.9636399331529424,0.984494884910486,5,1,0,0,0,1,0,1,0,1,0,1,0,7
Occlusion,0.990089514066496,0.9763261265972464,0.990089514066496,1,0,0,0,0,1,0,1,0,1,0,1,0,8
Occlusion,0.981777493606138,0.9581088933945886,0.981777493606138,2,0,0,0,0,1,0,1,0,1,0,1,0,8
Occlusion,0.9862531969309464,0.967977469295008,0.9862531969309464,3,0,0,0,0,1,0,1,0,1,0,1,0,8
